INFO 2017-06-30 11:23:34,671 justtest : /selectPort/
ERROR 2017-06-30 11:23:34,671 日志内容
INFO 2017-06-30 11:26:47,224 justtest : /selectPort/
ERROR 2017-06-30 11:26:47,224 日志内容
INFO 2017-06-30 11:26:54,701 justtest : /selectPort/
ERROR 2017-06-30 11:26:54,702 日志内容
INFO 2017-06-30 11:27:03,814 justtest : /daymanage/
ERROR 2017-06-30 11:27:03,814 日志内容
[INFO] 2017-06-30 11:28:03,071 justtest : /daymanage/
[ERROR] 2017-06-30 11:28:03,075 日志内容
[INFO]2017-06-30 11:29:29,538 justtest : /daymanage/
[ERROR]2017-06-30 11:29:29,538 日志内容
2017-06-30 11:29:59,498[INFO]justtest : /daymanage/
2017-06-30 11:29:59,501[ERROR]日志内容
2017-06-30 11:31:52,929[INFO]justtest : /daymanage/
2017-06-30 11:32:22,192[INFO]justtest : /selectPort/
2017-06-30 11:32:40,156[INFO]justtest : /hostId/
2017-06-30 11:32:41,464[INFO]justtest : /form/logMonitor.html
2017-06-30 11:33:03,711[INFO]justtest : /selectPort/
2017-06-30 11:33:21,748[INFO]justtest : /selectPort/
2017-06-30 11:33:40,537[INFO]justtest : /selectPort/
2017-06-30 11:33:42,050[INFO]justtest : /form/dataManage.html
2017-06-30 11:33:42,154[INFO]justtest : /dayData/
2017-07-03 18:29:55,469[INFO]justtest : /login/
2017-07-03 18:29:55,494[INFO]justtest : /check_code/
2017-07-03 18:30:06,516[INFO]justtest : /onload/
2017-07-03 18:30:06,539[INFO]justtest : /form/
2017-07-03 18:30:06,859[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:30:07,353[INFO]justtest : /favicon.ico
2017-07-03 18:30:09,170[INFO]justtest : /hostId/
2017-07-03 18:30:09,351[INFO]justtest : /firstAnayse/
2017-07-03 18:30:30,752[INFO]justtest : /form/
2017-07-03 18:30:32,124[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:30:37,444[INFO]justtest : /hostId/
2017-07-03 18:30:37,623[INFO]justtest : /firstAnayse/
2017-07-03 18:32:03,753[INFO]justtest : /form/
2017-07-03 18:32:06,622[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:32:09,145[INFO]justtest : /daymanage/
2017-07-03 18:32:11,204[INFO]justtest : /form/logMonitor.html
2017-07-03 18:32:32,906[INFO]justtest : /hostId/
2017-07-03 18:32:33,169[INFO]justtest : /firstAnayse/
2017-07-03 18:32:41,801[INFO]justtest : /form/
2017-07-03 18:32:42,033[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:36:28,257[INFO]justtest : /form/
2017-07-03 18:36:28,397[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:36:30,754[INFO]justtest : /hostId/
2017-07-03 18:36:30,921[INFO]justtest : /firstAnayse/
2017-07-03 18:38:21,270[INFO]justtest : /form/
2017-07-03 18:38:21,374[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:38:27,310[INFO]justtest : /hostId/
2017-07-03 18:38:27,469[INFO]justtest : /firstAnayse/
2017-07-03 18:38:51,656[INFO]justtest : /form/
2017-07-03 18:38:51,759[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:38:53,268[INFO]justtest : /hostId/
2017-07-03 18:38:53,444[INFO]justtest : /firstAnayse/
2017-07-03 18:39:39,444[INFO]justtest : /form/
2017-07-03 18:39:39,595[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:39:41,588[INFO]justtest : /hostId/
2017-07-03 18:39:41,762[INFO]justtest : /firstAnayse/
2017-07-03 18:43:04,600[INFO]justtest : /form/
2017-07-03 18:43:04,604[INFO]justtest : /login/
2017-07-03 18:43:04,624[INFO]justtest : /check_code/
2017-07-03 18:43:14,102[INFO]justtest : /onload/
2017-07-03 18:43:14,119[INFO]justtest : /form/
2017-07-03 18:43:14,256[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:43:14,683[INFO]justtest : /favicon.ico
2017-07-03 18:43:17,733[INFO]justtest : /hostId/
2017-07-03 18:43:17,890[INFO]justtest : /firstAnayse/
2017-07-03 18:44:35,358[INFO]justtest : /form/
2017-07-03 18:44:35,467[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:44:37,487[INFO]justtest : /hostId/
2017-07-03 18:44:37,649[INFO]justtest : /firstAnayse/
2017-07-03 18:45:29,151[INFO]justtest : /hostId/
2017-07-03 18:45:29,262[INFO]justtest : /firstAnayse/
2017-07-03 18:46:15,859[INFO]justtest : /hostId/
2017-07-03 18:46:15,967[INFO]justtest : /firstAnayse/
2017-07-03 18:47:14,682[INFO]justtest : /form/logMonitor.html
2017-07-03 18:47:15,889[INFO]justtest : /hostId/
2017-07-03 18:47:16,065[INFO]justtest : /firstAnayse/
2017-07-03 18:53:28,009[INFO]justtest : /form/
2017-07-03 18:53:28,135[INFO]justtest : /pages/serviceShow/service_manage.html
2017-07-03 18:53:29,938[INFO]justtest : /hostId/
2017-07-03 18:53:30,097[INFO]justtest : /firstAnayse/
2017-07-03 18:53:43,150[INFO]justtest : /hostId/
2017-07-03 18:53:43,333[INFO]justtest : /firstAnayse/
2017-07-03 18:53:54,035[INFO]justtest : /firstAnayse/
2017-07-03 18:54:00,367[INFO]justtest : /firstAnayse/
2017-07-03 18:55:21,480[INFO]justtest : /form/dataManage.html
2017-07-03 18:55:21,583[INFO]justtest : /dayData/
2017-07-03 18:55:29,070[INFO]justtest : /selectPort/
2017-07-03 18:55:31,313[INFO]justtest : /changePortPage/
2017-07-03 18:55:31,977[INFO]justtest : /changePortPage/
2017-07-03 18:55:32,865[INFO]justtest : /changePortPage/
2017-07-03 18:55:33,680[INFO]justtest : /changePortPage/
2017-07-03 18:55:34,333[INFO]justtest : /changePortPage/
2017-07-03 18:55:34,964[INFO]justtest : /changePortPage/
2017-07-03 18:55:35,799[INFO]justtest : /changePortPage/
2017-07-03 18:55:39,440[INFO]justtest : /changePortPage/
2017-07-03 18:55:48,795[INFO]justtest : /daymanage/
2017-07-03 18:55:51,678[INFO]justtest : /downmanage/
2017-07-03 18:56:21,521[INFO]justtest : /form/logMonitor.html
2017-07-03 18:56:23,070[INFO]justtest : /hostId/
2017-07-03 18:56:23,221[INFO]justtest : /firstAnayse/
2017-07-03 18:56:31,180[INFO]justtest : /serverlist/
2017-07-03 18:56:32,926[INFO]justtest : /toSoftware/
2017-07-03 18:56:34,363[INFO]justtest : /serverlist/
2017-07-03 18:56:35,750[INFO]justtest : /form/dataManage.html
2017-07-03 18:56:35,826[INFO]justtest : /dayData/
2017-07-03 18:56:48,233[INFO]justtest : /form/dataManage.html
2017-07-03 18:56:48,305[INFO]justtest : /dayData/
2017-07-03 18:56:59,378[INFO]justtest : /selectPort/
2017-07-03 18:57:12,258[INFO]justtest : /daymanage/
2017-07-03 18:57:27,381[INFO]justtest : /changeThingsPage/
2017-07-03 18:57:28,883[INFO]justtest : /changeThingsPage/
2017-07-03 18:57:33,007[INFO]justtest : /changeThingsPage/
2017-07-03 18:57:38,135[INFO]justtest : /form/dataManage.html
2017-07-03 18:57:38,239[INFO]justtest : /dayData/
2017-07-03 18:57:45,499[INFO]justtest : /hostId/
2017-07-03 18:57:45,661[INFO]justtest : /firstAnayse/
2017-07-03 18:57:52,322[INFO]justtest : /firstAnayse/
2017-07-03 18:57:57,876[INFO]justtest : /firstAnayse/
2017-07-03 18:58:03,055[INFO]justtest : /firstAnayse/
2017-07-03 18:58:15,862[INFO]justtest : /firstAnayse/
2017-07-03 18:58:37,966[INFO]justtest : /serverlist/
2017-07-03 18:58:41,352[INFO]justtest : /servercatalog/
2017-07-03 18:58:42,864[INFO]justtest : /servercatalog/
2017-07-03 18:58:46,147[INFO]justtest : /toSoftware/
2017-07-03 18:58:51,135[INFO]justtest : /serverlist/
2017-07-03 18:58:51,702[INFO]justtest : /toSoftware/
2017-07-14 16:33:29,203[INFO]justtest : /login/
2017-07-14 16:33:29,385[INFO]justtest : /check_code/
2017-07-14 16:33:39,857[INFO]justtest : /onload/
2017-07-14 16:33:39,874[INFO]justtest : /form/
